
Mipolam Planet,Pavimento homogéneo para todo tipo de uso.                ,"https://www.gerflor.es/cache/media/gerflor-slider-planet/cr,1134,598-6ff68f.jpg",Ivory Dust
Mipolam BioPlanet,Pavimento homogeneo para todo tipo de uso.               ,"https://www.gerflor.es/cache/media/gerflor-slider-bio-planet/cr,1134,598-e5471a.jpg",Ivory Dust
Mipolam Affinity, ,"https://www.gerflor.es/cache/media/products/mipolam/mipolam-affinity/gerflor-mipolam-affinity-img-pdt-01-1650x500v2/cr,1134,598-777e18.jpg",Quartz
Mipolam Classic 1.5 mm, ,"https://www.gerflor.es/cache/media/products/mipolam/mipolam-classic/gerflor-mipolam-classic-1-5-img-pdt-01/cr,1134,598-e1abbd.jpg",Platinum
Mipolam Classic 2 mm, ,"https://www.gerflor.es/cache/media/products/mipolam/mipolam-classic/gerflor-mipolam-classic-img-pdt-01/cr,1134,598-658ccc.jpg",Platinum
Mipolam Symbioz™, ,"https://www.gerflor.es/cache/media/products/mipolam/mipolamsymbiozmusk-passerelle/cr,1134,598-75b229.jpg",Cotton
Mipolam Accord, ,"https://www.gerflor.es/cache/media/products/mipolam/mipolam-accord/gerflor-mipolam-accord-img-pdt/cr,1134,598-3c68e9.jpg",Louise
Mipolam Cosmo, ,"https://www.gerflor.es/cache/media/products/mipolam/mipolam-cosmo/gerflor-mipolam-cosmo-img-pdt/cr,1134,598-83a9b8.jpg",Soft Green
Mipolam Elegance, ,"https://www.gerflor.es/cache/media/products/mipolam/mipolam-elegance/gerflor-mipolam-elegance-img-pdt-01bis/cr,1134,598-8cc294.jpg",Grape
Mipolam Troplan, ,"https://www.gerflor.es/cache/media/products/mipolam/mipolam-troplan/gerflor-mipolam-troplan-img-pdt-01bis/cr,1134,598-d8e773.jpg",Beige
Taralay Impression Acoustic,"Una colección única, llamativa y eco-friendly, diseñada especialmente para ti.               ","https://www.gerflor.es/cache/media/products/taralay/taralay-impression-acoustic/gerflor-taralay-impression-acoustic-img-pdt-01/cr,1134,598-279e4d.jpg",Noma Ice
Taralay Impression Hop Acoustic,"Una colección única, llamativa y eco-friendly, diseñada especialmente para ti.               ","https://www.gerflor.es/cache/media/products/taralay/taralay-impression-hop-acoustic/gerflor-taralay-impression-hop-acoustic-img-pdt-01/cr,1134,598-4baa01.jpg",Noma Ice
Nerok 70 Acoustic,La mejor relación calidad-precio en rollos impresos disponibles en 2M y 4M               ,"https://www.gerflor.es/cache/media/products/nerok70-ac-1/cr,1134,598-8e47c1.jpg",Timber Clear
Nerok 55 Acoustic,La mejor relación calidad-precio en rollos impresos disponibles en 2M y 4M               ,"https://www.gerflor.es/cache/media/products/nerok55-ac-1/cr,1134,598-4ff71f.jpg",Timber Clear
Taralay Premium Comfort, ,"https://www.gerflor.es/cache/media/products/taralay/taralay-premium-comfort/rs54978_indiana-faroe-horizontale-hpr-2/cr,1134,598-72ca64.jpg",Kumquat
